WEEK,STATE,threshold,human_share,llm_share,human_n,llm_n
1,NY,60,0.005128205128205128,0.010810810810810811,195,185
1,NY,80,0.0,0.0,195,185
1,NY,100,0.0,0.0,195,185
1,TX,60,0.0196078431372549,0.02564102564102564,153,156
1,TX,80,0.0,0.0,153,156
1,TX,100,0.0,0.0,153,156
2,NY,60,0.01092896174863388,0.023529411764705882,183,170
2,NY,80,0.00546448087431694,0.0,183,170
2,NY,100,0.0,0.0,183,170
2,TX,60,0.017142857142857144,0.012195121951219513,175,164
2,TX,80,0.005714285714285714,0.0,175,164
2,TX,100,0.0,0.0,175,164
3,NY,60,0.005847953216374269,0.012422360248447204,171,161
3,NY,80,0.0,0.0,171,161
3,NY,100,0.0,0.0,171,161
3,TX,60,0.029585798816568046,0.017964071856287425,169,167
3,TX,80,0.005917159763313609,0.0,169,167
3,TX,100,0.0,0.0,169,167
