occupation,econ1_rate_human_yes_emp,econ1_rate_human_self,econ1_rate_human_no,econ1_rate_llm_yes_emp,econ1_rate_llm_self,econ1_rate_llm_no,N
(16) Office and Administrative Support Occupations,0.5106382978723404,0.02127659574468085,0.44680851063829785,0.723404255319149,0.0,0.2553191489361702,47
"(15) Education, Training, and Library Occupations",0.5319148936170213,0.02127659574468085,0.44680851063829785,0.7021276595744681,0.0,0.2978723404255319,47
(14) Sales and Related Occupations,0.24242424242424243,0.18181818181818182,0.5757575757575758,0.7272727272727273,0.0,0.2727272727272727,33
(21) Management Occupations,0.5,0.0,0.5,0.5,0.0,0.5,26
(20) Business and Financial Operations Occupations,0.8076923076923077,0.038461538461538464,0.15384615384615385,0.8076923076923077,0.0,0.19230769230769232,26
(9) Healthcare Practitioners and Technical Occupations,0.4,0.0,0.6,0.56,0.0,0.44,25
(25) Have never worked,0.30434782608695654,0.043478260869565216,0.6521739130434783,0.0,0.0,1.0,23
(17) Food Preparation and Serving Related Occupations,0.15789473684210525,0.10526315789473684,0.7368421052631579,0.5789473684210527,0.0,0.42105263157894735,19
"(4) Installation, Maintenance, and Repair Occupations",0.2631578947368421,0.0,0.7368421052631579,0.5263157894736842,0.0,0.47368421052631576,19
(22) Transportation and Material Moving Occupations,0.6111111111111112,0.05555555555555555,0.3333333333333333,0.7222222222222222,0.0,0.2222222222222222,18
(3) Healthcare Support Occupations,0.3125,0.0,0.6875,0.8125,0.0,0.1875,16
(7) Production Occupations,0.4,0.13333333333333333,0.4666666666666667,0.6,0.0,0.4,15
(11) Protective Service Occupations,0.7142857142857143,0.07142857142857142,0.21428571428571427,0.8571428571428571,0.0,0.14285714285714285,14
(6) Construction and Extraction Occupations,0.3076923076923077,0.07692307692307693,0.6153846153846154,0.6153846153846154,0.0,0.38461538461538464,13
(12) Personal Care and Service Occupations,0.38461538461538464,0.0,0.6153846153846154,0.6153846153846154,0.0,0.38461538461538464,13
(13) Computer and Mathematical Occupations,0.6363636363636364,0.0,0.36363636363636365,0.6363636363636364,0.0,0.36363636363636365,11
"(1) Arts, Design, Entertainment, Sports, and Media Occupations",0.5,0.1,0.4,0.8,0.0,0.2,10
(8) Building and Grounds Cleaning and Maintenance Occupations,0.4,0.1,0.5,0.7,0.0,0.3,10
(5) Architecture and Engineering Occupations,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.4444444444444444,0.0,0.5555555555555556,9
(2) Community and Social Service Occupations,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.7142857142857143,7
"(19) Farming, Fishing, and Forestry Occupations",0.5,0.25,0.25,0.25,0.5,0.25,4
"(10) Life, Physical, and Social Science Occupations",1.0,0.0,0.0,1.0,0.0,0.0,3
(18) Legal Occupations,0.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,3
(23) Military Specific Occupations,0.5,0.0,0.5,0.5,0.0,0.5,2
